low_risk,medium_risk,high_risk,break_faith,class
5333,525,480,1,high
670,0,0,0,medium
978,11,0,0,low
30251,1304,3742,1,high
1032,11,0,0,low
390,1,0,0,low
588,6,0,0,low
1113,7,0,0,low
390,1,0,0,low
2680,0,0,0,low
695,1,0,0,low
23215,1,0,0,low
390,1,0,0,low
4771,94,0,0,low
3530,0,0,0,low
420,0,0,0,low
4745,15,0,0,high
5847,3,0,0,medium
1918,0,0,0,low
1374,0,0,0,low
978,11,0,0,low
1113,7,0,0,low
30675,65,78,0,high
415,0,0,0,low
1324,33,0,0,low
3135,10,0,0,low
413,0,0,0,low
6188,14,0,0,low
365,5,0,0,low
670,0,0,0,medium
1082,3,0,0,low
695,1,0,0,low
23215,1,0,0,low
413,0,0,0,low
57350,369,0,0,higher
575,3,0,0,low
2680,0,0,0,low
596,3,0,0,low
390,1,0,0,low
23393,17,0,0,high
740,1,0,0,low
2202,0,0,0,low
2680,0,0,0,low
264,0,0,0,low
346,5,0,0,low
682,4,0,0,low
618,5,0,0,low
20748,81,0,0,low
1918,0,0,0,low
420,0,0,0,low
420,0,0,0,low
1236,0,0,0,low
452,6,0,0,low
1966,1,0,0,low
30744,20,0,0,low
337,0,0,0,low
1573,3,0,0,low
29179,0,0,0,low
4771,94,0,0,low
355,5,0,0,low
16784,129,0,0,low
23924,2,1,0,high
1057,0,0,0,low
3154,19,0,0,low
11644,113,0,0,low
2813,5,0,0,low
550,12,0,0,low
2680,0,0,0,low
618,5,0,0,low
23393,17,0,0,high
37415,0,1,0,higher
753,3,0,0,low
558,2,6,0,high
3163,2,0,0,low
1057,0,0,0,low
483,10,0,0,low
1071,0,0,0,low
5698,8,0,0,low
2281,3,0,0,low
4854,0,0,0,low
2656,1,0,0,medium
1236,0,0,0,low
1573,3,0,0,low
1884,15,0,0,low
1073,3,0,0,low
4824,303,9,1,high
386,0,0,0,low
1260,1,0,0,low
588,6,0,0,low
36828,134,0,0,high
1032,11,0,0,low
692,3,0,0,medium
682,4,0,0,low
480,8,1,0,higher
4273,4,0,0,low
201,0,0,0,low
3163,2,0,0,low
1150,1,0,0,low
29179,0,0,0,low
2237,61,0,0,higher
230,0,0,0,low
952,14,0,0,low
3207,5,0,0,low
8212,12,0,0,low
7515,4,0,0,low
1173,2,0,0,low
1208,5,0,0,low
2281,3,0,0,low
2425,2,0,0,medium
875,0,0,0,low
4854,0,0,0,low
1579,8,0,0,low
682,4,0,0,low
458,8,0,0,low
7515,4,0,0,low
10524,2,0,0,low
480,8,1,0,higher
314,0,0,0,low
1573,3,0,0,low
618,5,0,0,low
1071,0,0,0,low
23215,1,0,0,low
365,5,0,0,low
230,0,0,0,low
4273,4,0,0,low
16606,44,7,0,high
403,14,0,0,low
413,0,0,0,low
3135,10,0,0,low
16606,44,7,0,high
1057,0,0,0,low
10675,1,0,0,low
57350,369,0,0,higher
365,5,0,0,low
483,10,0,0,low
1208,5,0,0,low
1173,2,0,0,low
57350,369,0,0,higher
337,0,0,0,low
327,0,0,0,low
398,0,0,0,low
1032,11,0,0,low
1260,1,0,0,low
452,6,0,0,low
977,5,0,0,low
4043,60,1,0,high
3154,19,0,0,low
873,2,0,0,low
8212,12,0,0,low
176,0,0,0,low
1374,0,0,0,low
575,3,0,0,low
36828,134,0,0,high
692,3,0,0,medium
23215,1,0,0,low
37415,0,1,0,higher
3876,40,0,0,low
16784,129,0,0,low
36828,134,0,0,high
636,2,0,0,low
2968,19,0,0,low
978,11,0,0,low
875,0,0,0,low
1073,3,0,0,low
120,0,1,0,medium
740,1,0,0,low
367,4,0,0,low
1135,2,0,0,medium
1236,30,0,0,low
398,0,0,0,low
1032,11,0,0,low
978,11,0,0,low
483,8,0,0,low
159,4,0,0,low
977,5,0,0,low
6188,14,0,0,low
201,0,0,0,low
670,0,0,0,medium
5698,8,0,0,low
420,0,0,0,low
355,5,0,0,low
558,2,6,0,high
3207,5,0,0,low
753,3,0,0,low
2237,61,0,0,higher
1057,0,0,0,low
1884,15,0,0,low
10524,2,0,0,low
2202,0,0,0,low
230,0,0,0,low
10070,21,1,0,high
4771,94,0,0,low
79242,4,0,0,low
1086,72,90,1,high
4565,1,0,0,low
4565,1,0,0,low
692,3,0,0,medium
5847,3,0,0,medium
1173,2,0,0,low
480,8,1,0,higher
12828,17,0,0,high
4771,94,0,0,low
159,4,0,0,low
11644,113,0,0,low
6273,0,0,0,low
4824,303,9,1,high
3530,0,0,0,low
2708,4,0,0,low
3876,40,0,0,low
174,1,0,0,low
413,0,0,0,low
403,14,0,0,low
4284,51,4,0,high
1073,3,0,0,low
30675,65,78,0,high
8212,12,0,0,low
11940,55,0,0,high
952,14,0,0,low
314,0,0,0,low
596,3,0,0,low
264,0,0,0,low
2237,61,0,0,higher
1082,3,0,0,low
977,5,0,0,low
2708,4,0,0,low
386,0,0,0,low
415,0,0,0,low
7734,1,0,0,low
10675,1,0,0,low
2237,61,0,0,higher
120,0,1,0,medium
4854,0,0,0,low
1260,1,0,0,low
1173,2,0,0,low
550,12,0,0,low
618,5,0,0,low
873,2,0,0,low
4273,4,0,0,low
215,0,1,0,medium
6273,0,0,0,low
11008,15,0,0,low
4741,13,8,0,high
327,0,0,0,low
2813,5,0,0,low
2281,3,0,0,low
1236,30,0,0,low
1573,3,0,0,low
4273,4,0,0,low
1071,0,0,0,low
230,0,0,0,low
2425,2,0,0,medium
355,5,0,0,low
20748,81,0,0,low
3207,5,0,0,low
40221,1208,60,0,high
23924,2,1,0,high
1150,1,0,0,low
367,4,0,0,low
873,2,0,0,low
875,0,0,0,low
12828,17,0,0,high
2968,19,0,0,low
355,5,0,0,low
4854,0,0,0,low
346,5,0,0,low
4284,51,4,0,high
458,8,0,0,low
176,0,0,0,low
1236,0,0,0,low
327,0,0,0,low
3123,35,0,0,medium
386,0,0,0,low
1073,3,0,0,low
1324,33,0,0,low
174,1,0,0,low
1135,2,0,0,medium
57981,1209,4,0,high
977,5,0,0,low
386,0,0,0,low
875,0,0,0,low
3123,35,0,0,medium
2202,0,0,0,low
11008,15,0,0,low
636,2,0,0,low
365,5,0,0,low
11644,113,0,0,low
1260,1,0,0,low
8212,12,0,0,low
398,0,0,0,low
1071,0,0,0,low
398,0,0,0,low
57350,369,0,0,higher
483,8,0,0,low
37415,0,1,0,higher
11644,113,0,0,low
1579,8,0,0,low
120,0,1,0,medium
480,8,1,0,higher
3207,5,0,0,low
873,2,0,0,low
1236,0,0,0,low
2281,3,0,0,low
79242,4,0,0,low
2202,0,0,0,low
682,4,0,0,low
30744,20,0,0,low
367,4,0,0,low
367,4,0,0,low
7734,1,0,0,low
327,0,0,0,low
1966,1,0,0,low
30251,1304,3742,1,high
